commit	best_acc	memory_gb	status	description
e560881	91.17	0.2	keep	baseline ResNet-20
9817a40	86.49	0.2	discard	cosine LR with LR=0.2 and T_max=200k (barely decays)
1c557a1	87.97	0.2	discard	cosine LR with LR=0.2 and T_max=64k
76cbab2	84.01	0.5	discard	ResNet-56 with step LR (milestones never reached)
f1f1bde	88.66	0.5	discard	ResNet-56 with cosine LR T_max=12k (too few steps in 5 min)
9078cb8	91.52	0.2	keep	add Cutout augmentation (16x16 patch)
cf27548	88.65	0.4	discard	2x wider ResNet-20 (too few steps; milestones not reached)
32d7dfd	91.78	0.2	keep	add label smoothing 0.1
9b77af0	92.00	0.2	keep	enable Nesterov momentum
339d2f7	90.38	0.2	discard	increase weight decay to 5e-4 (too much regularization)
0e5040a	87.09	0.2	discard	OneCycleLR max_lr=0.3 (too aggressive)
95a6628	92.01	0.2	keep	increase LR from 0.1 to 0.15
d1f5616	91.01	0.4	discard	BS=256 with LR=0.3 and halved milestones
a7306e1	0.00	0.0	crash	torch.compile not supported on Python 3.14
8027861	92.39	0.2	keep	AMP mixed precision + cudnn.benchmark + TF32
5bb81dd	92.42	0.2	keep	adjust milestones to 22k/33k for AMP step count
e2744c0	93.07	0.3	keep	1.5x wider ResNet-20 (base_width=24)
0fa30e7	92.03	0.3	discard	earlier milestones 16k/24k (too early LR decay)
ce0d562	94.07	0.4	keep	2x wider ResNet-20 (base_width=32)
900008a	93.99	0.4	discard	milestones 14k/20k (slightly worse)
6bb5f90	90.27	0.6	discard	3x wider (base_width=48) - too slow, only 16k steps
1081318	94.17	0.4	keep	add linear warmup 500 steps
b653efd	89.92	0.5	discard	base_width=40 (too slow at 18k steps)
9eab017	94.63	0.4	keep	cosine LR (T_max=27k) + warmup replaces MultiStepLR
6367690	94.22	0.5	discard	base_width=40 with cosine (still too slow)
429ecc8	92.61	0.4	discard	ResNet-32 + base_width=32 (too slow at 17k steps)
d5f5f3c	94.29	0.4	discard	SE blocks (compute overhead reduces steps)
3f3a856	94.95	0.4	keep	increase LR to 0.2 with cosine schedule
c8f0833	94.63	0.4	discard	LR=0.3 (too high)
6f09782	94.82	0.4	discard	ColorJitter augmentation (slightly worse)
6ba936f	94.89	0.4	discard	weight decay 2e-4 (slightly worse)
93ee680	94.35	0.4	discard	Cutout size 8 (worse than 16)
aa14ed4	91.32	0.4	discard	PreActResNet blocks (much worse)
4b6c43d	94.66	0.4	discard	learned 1x1 shortcuts (option B)
69400e6	93.99	0.4	discard	RandomRotation(15) hurts
9d6237b	94.53	0.4	discard	Mixup alpha=0.2 (too much regularization with Cutout+LS)
b803a67	94.61	0.4	discard	label smoothing 0.05 (0.1 is better)
5af6b49	94.38	0.4	discard	EMA decay=0.999 (slightly slower + worse)
352733e	94.18	0.4	discard	TrivialAugmentWide (worse)
00d3e46	94.71	0.4	discard	gradient clipping max_norm=1.0
2f0482f	93.42	0.4	discard	ResNet-26 (n=4) - too slow at 21k steps
f48c827	94.39	0.3	discard	base_width=28 (not enough capacity)
e6b3cd2	94.58	0.4	discard	cosine T_max=25k (worse)
94e2b7c	94.67	0.4	discard	persistent_workers + set_to_none (marginal change)
ca4f8be	94.72	0.4	discard	momentum=0.95 (worse)
b7321dc	94.78	0.4	discard	LR=0.25 (slightly worse than 0.2)
